Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,CalinskiHarabasz_mean,CalinskiHarabasz_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.8858598127561728,0.18897670642878955,0.7753370793233901,0.13090292852526975,0.3232452982491806,0.21715272277918632,1552.334511953069,1261.8327410970583,0.9572171151881932,0.15576439261231598,735.6812180057753,26.487658445222028,712.2346863318826,26.487658445222028
3,0.7472904358057764,0.22062248095483408,0.6961635288657188,0.11007763975338317,0.43753566947303185,0.1910862780502643,1021.6958433533628,587.5357826630371,0.9205499668861187,0.14533170985539282,827.0409868435439,30.963863350860926,790.5686042397106,30.963863350860922
4,0.6843456862946833,0.21044764131899676,0.6699432185367123,0.08551659432273233,0.4825436826084134,0.17163688951944336,784.4574359146794,343.95895906220255,0.8993397730139704,0.12974902489799592,900.2739236037742,28.665250307456954,850.7756900700005,28.665250307456954
5,0.622719728446194,0.19970165979837742,0.6317420215353967,0.08629317374340094,0.5399023456057391,0.18451439375057052,637.7683955812823,234.55942751637497,0.8587303511122538,0.13644554436554468,955.838343012661,29.697351659212746,893.3142585489467,29.697351659212746
6,0.5647975343510914,0.19560512667906443,0.5969369840137403,0.08178823517535806,0.5488991856551848,0.128899744640011,543.6449223075048,187.81041146623795,0.8101308194396334,0.12912202360553274,997.0325341850023,34.02961665173197,921.4825987913479,34.02961665173198
7,0.5267405601696015,0.16690283826603058,0.5781341754737244,0.06621314418030769,0.5655295725824254,0.10754290323965415,459.77409500227805,141.8123165004735,0.7876347131411542,0.10272901230244431,1044.7175867393657,30.760424590734733,956.1418004157707,30.760424590734758
8,0.47376654279292835,0.17257048855155335,0.5563768236550006,0.06031556251792305,0.5826197107840936,0.15567742626979222,405.4903256559008,111.61801680504088,0.7666552355311178,0.09438620332168124,1079.1908803244824,29.78791245964888,977.5892430709465,29.78791245964888
9,0.40843911701421093,0.17110984462485038,0.530836144770834,0.0565763458591481,0.6110326077689209,0.17507715616054695,359.94506790789706,98.35772431891228,0.734012429093088,0.08475212896049236,1111.4690821537995,32.619122778970485,996.8415939703234,32.6191227789705
10,0.3913552516478658,0.16871638458340396,0.5204820397553536,0.05786157768512555,0.5996897799168122,0.09385722938618868,337.2690487846797,88.48186392987769,0.7116137389718813,0.08565176718929128,1141.764314044891,32.55925781250739,1014.1109749314746,32.55925781250738
