k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler
2,0.5,0.32,0.84,Share of Total
2,0.5,0.31,0.84,Share of Top 30 (L1 Norm)
2,0.5,0.31,0.84,L2 Normalization
2,0.48,0.3,0.79,TF-IDF
3,0.34,0.2,0.63,L2 Normalization
3,0.34,0.2,0.63,Share of Top 30 (L1 Norm)
3,0.34,0.19,0.63,Share of Total
3,0.3,0.17,0.86,TF-IDF
4,0.31,0.18,0.88,L2 Normalization
4,0.31,0.17,0.88,Share of Top 30 (L1 Norm)
4,0.31,0.17,0.88,Share of Total
4,0.28,0.16,1.0,TF-IDF
5,0.28,0.17,0.82,L2 Normalization
5,0.28,0.16,0.82,Share of Top 30 (L1 Norm)
5,0.28,0.16,0.82,Share of Total
5,0.25,0.15,0.71,TF-IDF
6,0.27,0.16,0.76,L2 Normalization
6,0.27,0.15,0.76,Share of Top 30 (L1 Norm)
6,0.27,0.15,0.76,Share of Total
6,0.26,0.15,0.74,TF-IDF
7,0.25,0.14,0.78,L2 Normalization
7,0.25,0.14,0.78,Share of Total
7,0.25,0.14,0.78,Share of Top 30 (L1 Norm)
7,0.23,0.13,0.69,TF-IDF
8,0.23,0.13,0.81,L2 Normalization
8,0.23,0.13,0.81,Share of Total
8,0.23,0.12,0.81,Share of Top 30 (L1 Norm)
8,0.22,0.13,0.69,TF-IDF
9,0.22,0.13,0.69,TF-IDF
9,0.22,0.13,0.72,L2 Normalization
9,0.22,0.12,0.72,Share of Total
9,0.22,0.12,0.72,Share of Top 30 (L1 Norm)
10,0.22,0.12,0.68,TF-IDF
10,0.21,0.12,0.79,L2 Normalization
10,0.21,0.11,0.79,Share of Total
10,0.21,0.11,0.79,Share of Top 30 (L1 Norm)
11,0.22,0.13,0.88,L2 Normalization
11,0.22,0.12,0.88,Share of Top 30 (L1 Norm)
11,0.22,0.12,0.88,Share of Total
11,0.21,0.12,0.8,TF-IDF
12,0.22,0.13,0.97,L2 Normalization
12,0.22,0.12,0.97,Share of Total
12,0.22,0.12,0.97,Share of Top 30 (L1 Norm)
12,0.2,0.12,0.86,TF-IDF
13,0.23,0.13,0.92,L2 Normalization
13,0.23,0.12,0.92,Share of Top 30 (L1 Norm)
13,0.23,0.12,0.92,Share of Total
13,0.2,0.12,0.92,TF-IDF
14,0.24,0.14,0.93,L2 Normalization
14,0.24,0.13,0.93,Share of Top 30 (L1 Norm)
14,0.24,0.13,0.93,Share of Total
14,0.21,0.12,0.92,TF-IDF
