Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.40857497253995734,1.1102230246251565e-16,0.24884834625487542,0.0,1.6691955967030914,6.661338147750939e-16,1.0,0.0,-394618.60904471227,1.7462298274040222e-10,-399012.42324353615,1.1641532182693481e-10
3,0.33018552013676455,0.0,0.19547474383893484,5.551115123125783e-17,1.6219065733940896,2.220446049250313e-16,1.0,0.0,-403019.2726552422,5.820766091346741e-11,-409611.1911780554,5.820766091346741e-11
4,0.31609598299319464,0.0028646996896411533,0.18672099674033774,0.0017261195658357482,1.5726452400280444,0.010173072139417167,0.957307366891276,0.03825249248508231,-409436.3697351517,25.427932949432634,-418226.39258195413,25.427932949432634
5,0.32211580323493044,0.006840014315880501,0.18946652862015842,0.004421666489783192,1.3261167529975983,0.021086113864413808,0.8703949882201816,0.0900908957905331,-413841.7173600021,346.5218955750344,-424829.8445307938,346.5218955750344
6,0.29880239031594114,0.0157381526749804,0.1753228798875481,0.009535327240935513,1.414700506545194,0.1089046990417349,0.7417348951605159,0.11315838743702318,-416055.08692408283,442.0737728005191,-429241.3184188639,442.0737728005191
7,0.2955251720029812,0.02626761746558078,0.1731647025996631,0.01444421890725209,1.337887807736298,0.09257819642551776,0.7264934322837203,0.10456388096530811,-418340.36742713203,786.2417123717598,-433724.7032459025,786.2417123717598
8,0.2734359242043759,0.03247908171748096,0.16047409719739783,0.018047311356748513,1.3516427193200018,0.08327475116153157,0.6670748896375124,0.12186454374785621,-419923.3079558832,1112.8075052156057,-437505.7480986429,1112.8075052156057
9,0.25800681323787095,0.02726481531522062,0.1514237532397727,0.014486067966117271,1.3381107324308954,0.08573311560909175,0.6451882751570442,0.10282011730985986,-421170.8297188503,1215.1864268373167,-440951.3741855993,1215.1864268373167
10,0.24132697404841463,0.02623792427074337,0.14131147560311857,0.014301833019066219,1.3351904355614406,0.08371341566659256,0.6052810090292589,0.10805758133584548,-422025.25304975844,1597.9141482979367,-444003.90184049675,1597.9141482979367
11,0.2385303530932259,0.030276400969480335,0.1388215841413653,0.016544268368650323,1.3153703613022438,0.09197866962966382,0.5831612195797053,0.10448477475386336,-422916.41710072046,1549.713873027241,-447093.1702154481,1549.713873027241
12,0.22017723962628682,0.028476489773157334,0.1287433032448062,0.015328864357891919,1.3105524070137549,0.0865965797623608,0.5441767296629374,0.09870206370064236,-423939.45670691476,1585.0299569243437,-450314.3141456318,1585.0299569243437
13,0.20771580922498845,0.027431035649222054,0.12156889944098472,0.014718961421449132,1.2988395223721725,0.07513196811879681,0.5393545116348221,0.09254699726197925,-424899.0230053512,1535.7091981106455,-453471.9847680574,1535.7091981106455
14,0.20665320246559898,0.030228332938510717,0.12100422721518946,0.016170360382630526,1.2667614089741825,0.07116038949153589,0.53924658932391,0.09402354274022152,-425897.61509337515,1598.4804740989816,-456668.68118007074,1598.4804740989816
