k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,AIC_mean,BIC_mean,scaler
2,0.53,0.383,1.0,-36574.279,973449.869,Share of Total
2,0.481,0.306,0.832,-22694.263,987329.885,Share of Top 30 (L1 Norm)
2,0.474,0.299,0.818,434.638,1010458.786,L2 Normalization
2,0.336,0.215,0.306,5406.819,1015430.967,TF-IDF
3,0.488,0.353,0.901,-34973.929,977245.929,Share of Total
3,0.41,0.26,0.695,-21190.158,991029.699,Share of Top 30 (L1 Norm)
3,0.378,0.233,0.665,1661.54,1013881.398,L2 Normalization
3,0.378,0.231,0.684,6546.77,1018766.628,TF-IDF
4,0.381,0.232,0.679,-33268.386,981147.182,Share of Total
4,0.37,0.219,0.798,-19697.288,994718.28,Share of Top 30 (L1 Norm)
4,0.361,0.218,0.78,2867.645,1017283.213,L2 Normalization
4,0.328,0.194,0.751,7676.552,1022092.12,TF-IDF
5,0.349,0.21,0.678,4133.547,1020744.824,L2 Normalization
5,0.343,0.202,0.644,-18153.953,998457.325,Share of Top 30 (L1 Norm)
5,0.34,0.205,0.683,-31579.952,985031.325,Share of Total
5,0.3,0.177,0.7,8834.911,1025446.189,TF-IDF
6,0.335,0.2,0.702,5381.119,1024188.107,L2 Normalization
6,0.333,0.205,0.71,-29886.608,988920.379,Share of Total
6,0.332,0.197,0.674,-16618.59,1002188.397,Share of Top 30 (L1 Norm)
6,0.296,0.175,0.636,9998.172,1028805.159,TF-IDF
7,0.327,0.196,0.744,-28186.286,992816.411,Share of Total
7,0.327,0.194,0.7,6620.673,1027623.371,L2 Normalization
7,0.326,0.193,0.72,-15085.503,1005917.195,Share of Top 30 (L1 Norm)
7,0.291,0.17,0.652,11142.284,1032144.981,TF-IDF
8,0.32,0.188,0.744,-13554.416,1009643.992,Share of Top 30 (L1 Norm)
8,0.309,0.184,0.703,-26489.592,996708.815,Share of Total
8,0.306,0.181,0.679,7860.941,1031059.349,L2 Normalization
8,0.287,0.168,0.693,12303.31,1035501.717,TF-IDF
9,0.293,0.175,0.682,-12015.523,1013378.594,Share of Top 30 (L1 Norm)
9,0.29,0.172,0.648,-24784.042,1000610.075,Share of Total
9,0.287,0.169,0.612,9114.468,1034508.585,L2 Normalization
9,0.276,0.161,0.678,13450.218,1038844.335,TF-IDF
10,0.275,0.162,0.572,10361.068,1037950.894,L2 Normalization
10,0.27,0.164,0.646,-10474.768,1017115.059,Share of Top 30 (L1 Norm)
10,0.269,0.16,0.613,-23078.471,1004511.356,Share of Total
10,0.262,0.152,0.628,14603.525,1042193.352,TF-IDF
11,0.262,0.154,0.555,11606.343,1041391.88,L2 Normalization
11,0.26,0.153,0.577,-21372.657,1008412.88,Share of Total
11,0.258,0.157,0.585,-8931.291,1020854.246,Share of Top 30 (L1 Norm)
11,0.251,0.146,0.601,15764.977,1045550.514,TF-IDF
12,0.258,0.151,0.532,12847.695,1044828.941,L2 Normalization
12,0.247,0.147,0.549,-19661.25,1012319.997,Share of Total
12,0.246,0.152,0.553,-7388.494,1024592.752,Share of Top 30 (L1 Norm)
12,0.24,0.139,0.576,16922.162,1048903.409,TF-IDF
13,0.254,0.149,0.537,14097.359,1048274.316,L2 Normalization
13,0.24,0.149,0.53,-5842.736,1028334.22,Share of Top 30 (L1 Norm)
13,0.235,0.14,0.539,-17956.779,1016220.178,Share of Total
13,0.234,0.135,0.562,18075.333,1052252.29,TF-IDF
14,0.248,0.145,0.531,15345.668,1051718.335,L2 Normalization
14,0.237,0.148,0.546,-4304.516,1032068.151,Share of Top 30 (L1 Norm)
14,0.235,0.138,0.533,-16246.738,1020125.929,Share of Total
14,0.228,0.132,0.557,19223.444,1055596.11,TF-IDF
